id,x,y
1,-6.146550195929549,-8.719780649063722
2,-2.31717343904371,5.936285970957784
3,-4.687220359824626,-6.907071649719343
4,-1.6055749400225876,-2.5344666602231705
5,-5.976607912593855,-10.26891425918969
6,-3.9111007937844917,-6.13061718353579
7,-4.157006303939221,-8.372500131757844
8,-5.875529406498443,-7.180245939726361
9,-6.238706375961264,-2.425405013413847
10,-3.7710009728086025,-6.687047419544496
11,-4.016652262694151,-7.4970550250641335
12,-5.570557116694565,-6.7090884336812975
13,-7.364049206422828,-4.175402007096967
14,-7.660110084642509,-4.536822052968488
15,-7.23186532278494,-5.639871051504155
16,-8.382178624269224,-7.590763720148048
17,-5.9706437242361154,-2.691015767738243
18,-6.084932583451366,-3.5077405160045183
19,-5.619887212688913,-8.574659364117839
20,-6.676032943839819,-1.3358575262550443
21,3.455920856209477,0.35609144280842975
22,7.856233524052843,-0.6016552180724519
23,5.817520523023145,2.1613092575946875
24,6.891931053274523,0.6157953995091898
25,-2.4858290741079934,7.53056104447218
26,0.8175548531201864,5.084038939249471
27,-1.2766216737315157,4.789601579047604
28,-0.2910881760692883,6.460590772431352
29,0.5872095229586217,4.163827615669268
30,0.17782155438466551,6.499109109751086
31,3.763956658011993,3.0229386911851663
32,4.277342714806143,3.46027947461795
33,4.082427168481908,3.359957243170948
34,4.103621350075261,3.9641582637188515
35,-0.8234688109140275,5.900878831190901
36,-2.7237317320987047,4.963740603551973
37,-2.0033158415652306,4.145036306281844
38,-2.4386367007100884,3.793881794481447
39,1.1605605091555296,2.324938610617686
40,1.9927971699288352,3.5056909561268554
41,1.5194681923214277,1.3078489417643913
42,6.325751981976938,5.436470778666855
43,-6.429343384537092,-0.7134407468060691
44,-7.851091063797763,-2.400691717980449
45,-5.272413560651873,1.3079292957666306
46,-3.8924397595085227,1.825284801502547
47,-6.420179809665471,2.0074209716580604
48,-6.1199448525610975,-0.23278237747905414
49,-4.103454804964422,3.4471934304392757
50,-5.460929851436398,6.356477133989479
51,-7.587126261761936,-4.426685420642101
52,-7.278771323490732,-2.8666108889506083
53,-6.662724772753852,-3.048266720684313
54,-6.90300688526559,-4.127353197632928
55,-5.39012107386511,2.2995117407407033
56,-5.7560735506784075,-0.15778840147382867
57,-7.970306784493268,0.5719232021497302
58,-6.286265637853995,-1.3579891040558594
59,-3.0060564518821,1.3090838228146753
60,-5.958915219661625,-0.6695009271602299
61,-3.664782350003958,3.1514508702801485
62,-7.530471371298369,-4.04962930057864
63,-4.124579841323514,-2.759395798941437
64,-6.755009432787964,-2.997389246315175
